Product_ID,Name,Category,Launch_Date,Price,Designer
1080,Product 80,Accessories,2024-02-12 18:59:14.550198,109.89,Designer B
1081,Product 81,Sneakers,2023-09-04 18:59:14.550201,86.22,Designer C
1082,Product 82,Apparel,2023-11-21 18:59:14.550204,172.36,Designer D
1083,Product 83,Sneakers,2023-03-12 18:59:14.550207,296.41,Designer A
1084,Product 84,Sneakers,2023-09-21 18:59:14.550210,110.51,Designer A
1085,Product 85,Apparel,2023-12-31 18:59:14.550214,218.03,Designer D
1086,Product 86,Accessories,2023-10-15 18:59:14.550217,240.4,Designer A
1087,Product 87,Sneakers,2023-07-27 18:59:14.550220,109.41,Designer D
1088,Product 88,Apparel,2024-02-07 18:59:14.550222,232.05,Designer A
1089,Product 89,Sneakers,2023-07-17 18:59:14.550225,141.95,Designer B
1090,Product 90,Sneakers,2023-11-18 18:59:14.550228,208.08,Designer A
1091,Product 91,Sneakers,2023-06-13 18:59:14.550231,208.38,Designer D
1092,Product 92,Sneakers,2023-07-02 18:59:14.550234,183.94,Designer D
1093,Product 93,Accessories,2023-03-29 18:59:14.550238,72.57,Designer D
1094,Product 94,Sneakers,2023-10-30 18:59:14.550241,258.83,Designer D
1095,Product 95,Sneakers,2023-10-04 18:59:14.550244,130.2,Designer D
1096,Product 96,Sneakers,2023-12-03 18:59:14.550247,96.63,Designer C
1097,Product 97,Accessories,2023-09-01 18:59:14.550249,60.19,Designer C
1098,Product 98,Sneakers,2023-12-16 18:59:14.550252,197.72,Designer A
1099,Product 99,Sneakers,2023-05-05 18:59:14.550255,219.39,Designer D
