Production_ID,Product_ID,Date,Quantity,Cost
48,1066,2024-02-19 18:59:14.559764,185,19.3
49,1013,2023-11-22 18:59:14.559767,193,13.2
50,1079,2023-05-01 18:59:14.559770,155,41.07
51,1073,2023-11-29 18:59:14.559773,195,14.88
52,1092,2023-11-20 18:59:14.559776,51,33.77
53,1009,2024-01-02 18:59:14.559779,126,47.46
54,1075,2023-11-25 18:59:14.559782,181,45.04
55,1093,2023-10-08 18:59:14.559784,139,21.11
56,1000,2023-08-09 18:59:14.559787,138,44.06
57,1004,2023-03-28 18:59:14.559790,143,10.01
58,1019,2023-03-04 18:59:14.559794,56,10.71
59,1007,2023-07-15 18:59:14.559798,144,34.1
60,1042,2023-04-03 18:59:14.559801,157,24.59
61,1075,2023-03-28 18:59:14.559804,123,25.46
62,1000,2023-11-05 18:59:14.559807,88,32.58
63,1056,2023-05-18 18:59:14.559810,190,17.67
64,1063,2023-05-24 18:59:14.559813,120,18.47
65,1083,2023-09-18 18:59:14.559816,105,29.38
66,1027,2023-05-14 18:59:14.559820,91,40.17
67,1036,2023-06-07 18:59:14.559823,85,34.78
68,1046,2023-09-22 18:59:14.559827,133,21.89
69,1075,2023-03-16 18:59:14.559829,167,27.21
70,1036,2023-12-06 18:59:14.559832,56,16.83
71,1048,2024-02-18 18:59:14.559836,103,12.99
72,1043,2023-09-25 18:59:14.559839,178,41.31
73,1055,2023-12-28 18:59:14.559841,169,20.62
74,1027,2023-09-06 18:59:14.559844,155,17.11
75,1078,2023-04-19 18:59:14.559847,96,37.66
76,1005,2024-01-08 18:59:14.559850,172,34.72
77,1060,2023-09-22 18:59:14.559853,190,35.33
78,1019,2023-06-08 18:59:14.559857,168,19.16
79,1077,2023-03-21 18:59:14.559860,199,19.31
80,1001,2023-08-16 18:59:14.559863,167,18.83
81,1072,2023-06-05 18:59:14.559868,70,16.95
82,1036,2023-03-18 18:59:14.559871,186,36.23
83,1019,2023-04-21 18:59:14.559874,75,43.92
84,1025,2023-09-11 18:59:14.559877,58,38.97
85,1028,2023-05-08 18:59:14.559880,64,41.68
86,1000,2023-12-22 18:59:14.559883,59,26.19
87,1034,2024-02-28 18:59:14.559886,171,36.16
88,1069,2023-11-16 18:59:14.559889,170,24.17
89,1058,2023-08-18 18:59:14.559892,174,31.02
90,1068,2023-05-26 18:59:14.559895,121,29.27
91,1032,2023-03-25 18:59:14.559898,98,17.08
92,1050,2023-04-29 18:59:14.559901,140,25.48
93,1077,2023-08-16 18:59:14.559905,86,48.55
94,1011,2024-02-16 18:59:14.559908,117,19.94
95,1019,2023-04-07 18:59:14.559911,99,15.35
96,1052,2023-06-09 18:59:14.559914,68,26.74
97,1087,2023-06-10 18:59:14.559917,149,41.61
98,1042,2023-09-07 18:59:14.559920,109,33.29
99,1097,2023-04-09 18:59:14.559923,138,37.24
100,1088,2023-05-29 18:59:14.559926,195,17.59
101,1049,2023-07-17 18:59:14.559929,196,34.76
102,1028,2024-02-07 18:59:14.559932,118,22.94
103,1056,2023-04-24 18:59:14.559934,98,43.37
104,1038,2023-09-24 18:59:14.559938,157,35.17
105,1094,2023-05-30 18:59:14.559940,168,17.95
106,1055,2024-02-08 18:59:14.559943,198,12.58
107,1042,2023-09-21 18:59:14.559946,199,11.71
108,1049,2023-09-30 18:59:14.559949,86,24.86
109,1022,2023-08-06 18:59:14.559952,192,20.63
110,1043,2024-02-02 18:59:14.559955,60,35.84
111,1037,2024-02-28 18:59:14.559958,187,29.97
112,1083,2023-09-16 18:59:14.559961,127,20.64
113,1022,2023-03-22 18:59:14.559964,126,15.97
114,1044,2023-12-17 18:59:14.559967,51,15.09
115,1051,2023-03-30 18:59:14.559970,113,44.59
116,1079,2023-11-15 18:59:14.559973,84,19.74
117,1049,2023-08-21 18:59:14.559976,56,36.07
118,1007,2023-07-17 18:59:14.559980,134,42.43
119,1084,2023-04-06 18:59:14.559983,195,34.56
120,1000,2023-08-24 18:59:14.559986,116,44.38
121,1007,2023-06-23 18:59:14.559990,91,25.7
122,1028,2024-02-08 18:59:14.559993,167,48.25
123,1095,2023-08-03 18:59:14.559996,174,15.33
124,1004,2024-02-19 18:59:14.559999,73,14.09
125,1085,2023-08-29 18:59:14.560002,95,36.35
126,1046,2024-01-14 18:59:14.560005,68,47.71
127,1033,2023-08-04 18:59:14.560008,117,42.36
128,1064,2023-04-05 18:59:14.560011,151,13.06
129,1054,2023-04-26 18:59:14.560014,91,21.17
130,1089,2023-03-21 18:59:14.560017,81,47.21
131,1042,2024-02-17 18:59:14.560021,158,20.12
132,1073,2023-03-16 18:59:14.560024,85,41.25
133,1029,2023-06-22 18:59:14.560027,146,43.01
134,1081,2023-11-24 18:59:14.560030,180,29.82
135,1016,2023-12-20 18:59:14.560033,122,25.45
136,1025,2023-11-30 18:59:14.560035,185,28.0
137,1007,2023-10-18 18:59:14.560038,146,19.08
138,1046,2023-10-06 18:59:14.560041,172,45.58
139,1075,2023-05-09 18:59:14.560044,119,28.02
140,1090,2023-12-12 18:59:14.560047,62,45.3
141,1071,2023-07-14 18:59:14.560050,98,14.23
142,1088,2023-06-06 18:59:14.560053,109,49.53
143,1045,2023-10-08 18:59:14.560056,179,27.73
144,1067,2023-07-30 18:59:14.560059,54,11.91
145,1032,2023-12-06 18:59:14.560063,76,11.52
146,1000,2024-01-02 18:59:14.560066,198,39.85
147,1018,2024-02-21 18:59:14.560068,57,36.36
148,1030,2023-04-13 18:59:14.560071,99,42.09
149,1079,2023-04-01 18:59:14.560074,116,14.21
150,1013,2023-11-22 18:59:14.560078,93,11.42
151,1052,2023-05-18 18:59:14.560081,174,30.34
152,1047,2023-10-24 18:59:14.560084,107,25.5
153,1068,2023-06-05 18:59:14.560087,52,28.48
154,1089,2023-12-15 18:59:14.560090,135,49.66
155,1061,2024-01-02 18:59:14.560093,119,48.83
156,1091,2023-08-27 18:59:14.560096,179,47.69
157,1065,2023-11-24 18:59:14.560099,51,41.35
158,1063,2023-03-08 18:59:14.560102,151,24.19
159,1069,2023-05-06 18:59:14.560105,84,26.49
160,1062,2024-01-16 18:59:14.560108,147,31.98
161,1072,2023-04-25 18:59:14.560111,79,43.22
162,1032,2024-02-14 18:59:14.560114,165,12.75
163,1040,2023-10-06 18:59:14.560117,57,26.97
164,1088,2023-05-05 18:59:14.560120,199,13.3
165,1047,2023-07-27 18:59:14.560123,93,30.59
166,1012,2023-08-31 18:59:14.560126,85,45.96
167,1072,2023-06-13 18:59:14.560129,126,41.3
168,1076,2023-03-18 18:59:14.560132,80,19.11
169,1030,2023-04-22 18:59:14.560135,96,49.04
170,1074,2023-03-26 18:59:14.560138,104,36.69
171,1067,2023-09-02 18:59:14.560142,155,10.42
172,1097,2023-03-20 18:59:14.560145,170,20.22
173,1003,2023-12-19 18:59:14.560148,104,20.43
174,1018,2023-12-09 18:59:14.560151,193,12.77
175,1069,2023-07-17 18:59:14.560154,61,48.39
176,1097,2023-03-27 18:59:14.560157,194,29.13
177,1081,2023-08-21 18:59:14.560160,193,45.83
178,1012,2023-11-25 18:59:14.560163,189,22.89
179,1022,2023-10-31 18:59:14.560166,185,15.01
180,1082,2023-04-21 18:59:14.560169,52,28.97
181,1074,2023-12-19 18:59:14.560172,193,14.56
182,1000,2023-08-03 18:59:14.560175,79,29.44
183,1087,2023-06-12 18:59:14.560178,72,46.81
184,1053,2023-07-24 18:59:14.560181,141,30.83
185,1070,2023-11-22 18:59:14.560184,164,34.66
186,1088,2023-10-13 18:59:14.560187,153,16.27
187,1084,2024-01-22 18:59:14.560189,167,11.75
188,1014,2023-03-13 18:59:14.560192,54,14.43
189,1064,2023-10-28 18:59:14.560195,153,33.94
190,1075,2023-09-03 18:59:14.560198,157,13.8
191,1070,2023-06-22 18:59:14.560201,114,25.04
192,1014,2023-05-14 18:59:14.560204,170,32.0
193,1020,2023-06-24 18:59:14.560207,79,25.55
194,1018,2023-10-06 18:59:14.560211,198,16.55
195,1059,2024-01-10 18:59:14.560214,133,20.95
196,1092,2023-09-15 18:59:14.560217,199,47.13
197,1088,2023-03-29 18:59:14.560220,81,37.04
198,1032,2023-04-08 18:59:14.560223,65,29.84
199,1048,2023-07-30 18:59:14.560227,87,10.51
200,1095,2023-11-09 18:59:14.560229,191,49.7
